, Births per 1000 People, Deaths per 1000 People, Population,Country,Divorces,Marriages,Total Number of Births,Total Number of Deaths,Unnamed: 0,date
0,24.268,9.649,158804395,United States,385000.0,1667000.0,3853865.05786,1532303.6073549998,0,12/31/50
1,24.211,9.619,160872266,United States,381000.0,1595000.0,3894878.432126,1547430.3266540002,1,12/31/51
2,24.155,9.589,163266028,United States,392000.0,1539000.0,3943690.90634,1565557.942492,2,12/31/52
3,24.099,9.559,165910003,United States,390000.0,1546000.0,3998265.162297,1585933.7186770001,3,12/31/53
4,24.043000000000006,9.529,168736387,United States,379000.0,1490000.0,4056928.9526410005,1607889.0317229999,4,12/31/54
5,23.987,9.499,171685336,United States,377000.0,1531000.0,4118216.1546319993,1630839.006664,5,12/31/55
6,23.93,9.469,174705003,United States,382000.0,1585000.0,4180690.7217900003,1654281.6734069998,6,12/31/56
7,23.874,9.439,177751483,United States,381000.0,1518000.0,4243638.905142,1677796.2480370002,7,12/31/57
8,23.818,9.409,180788392,United States,368000.0,1451000.0,4306017.920655999,1701037.9803280002,8,12/31/58
9,23.257,9.416,183786252,United States,395000.0,1494000.0,4274316.862763999,1730531.348832,9,12/31/59
10,22.696,9.423,186720571,United States,393000.0,1523000.0,4237810.079415998,1759467.9405330003,10,12/31/60
11,22.134,9.429,189569843,United States,414000.0,1548000.0,4195938.904962,1787454.0496470004,11,12/31/61
12,21.573,9.436,192313746,United States,413000.0,1577000.0,4148784.442458,1814672.507256,12,12/31/62
13,21.012,9.443,194932403,United States,428000.0,1654000.0,4095919.651836,1840746.6815290002,13,12/31/63
14,20.336,9.473,197408505,United States,450000.0,1725000.0,4014499.3576800004,1870050.767865,14,12/31/64
15,19.66,9.503,199733676,United States,479000.0,1800000.0,3926764.07016,1898069.123028,15,12/31/65
16,18.984,9.534,201895760,United States,499000.0,1857000.0,3832789.10784,1924874.17584,16,12/31/66
17,18.308,9.564,203905080,United States,523000.0,1927000.0,3733094.20464,1950148.18512,17,12/31/67
18,17.632,9.594,205805754,United States,584000.0,2069000.0,3628767.054528,1974500.403876,18,12/31/68
19,17.232,9.555,207659263,United States,639000.0,2145000.0,3578384.420016,1984184.257965,19,12/31/69
20,16.832,9.516,209513341,United States,708000.0,2185802.0,3526528.5557120005,1993728.952956,20,12/31/70
21,16.430999999999994,9.476,211384068,United States,773000.0,2190481.0,3473251.6213080003,2003075.4283680003,21,12/31/71
22,16.031,9.437,213269802,United States,845000.0,2282154.0,3418928.1958619994,2012627.121474,22,12/31/72
23,15.630999999999998,9.398,215178797,United States,915000.0,2284108.0,3363459.775907,2022250.334206,23,12/31/73
24,15.456,9.288,217114909,United States,983931.0,2245929.0,3355728.033504,2016563.2747919997,24,12/31/74
25,15.281,9.178,219081251,United States,1036709.0,2159810.0,3347780.5965309995,2010727.721678,25,12/31/75
26,15.106,9.069,221086429,United States,1090430.0,2159051.0,3339731.5964740003,2005032.824601,26,12/31/76
27,14.931,8.959,223135663,United States,1101445.0,2180861.0,3331638.584253,1999072.404817,27,12/31/77
28,14.755999999999998,8.849,225223303,United States,1135408.0,2293079.0,3323395.059068,1993001.0082470002,28,12/31/78
29,14.871,8.845,227339318,United States,1193062.0,2341102.0,3380762.9979779995,2010816.2677099998,29,12/31/79
30,14.986,8.841000000000003,229476354,United States,1184175.0,2413896.0,3438932.641044,2028800.445714,30,12/31/80
31,15.102,8.837,231636058,United States,1219042.0,2438085.0,3498167.7479160004,2046967.844546,31,12/31/81
32,15.217,8.833,233821844,United States,1170000.0,2495000.0,3558067.000148,2065348.348052,32,12/31/82
33,15.332,8.829,236030238,United States,1179000.0,2444000.0,3618815.609016,2083910.971302,33,12/31/83
34,15.396,8.854,238256844,United States,1181970.0,2482137.0,3668202.370224,2109526.096776,34,12/31/84
35,15.461,8.878,240499825,United States,1192530.0,2408911.0,3718367.794325,2135157.4463500003,35,12/31/85
36,15.525,8.902999999999997,242763148,United States,1179347.0,2406830.0,3768897.8727,2161320.306644,36,12/31/86
37,15.59,8.927,245052789,United States,1165646.0,2404146.0,3820372.98051,2187586.247403,37,12/31/87
38,15.654000000000002,8.952,247372264,United States,1151787.0,2377092.0,3872365.4206560007,2214476.507328,38,12/31/88
39,15.613,8.925,249725805,United States,1162719.0,2399654.0,3898968.9934650003,2228802.809625,39,12/31/89
40,15.573,8.898,252120309,United States,1175851.0,2451774.0,3926269.572057,2243366.509482,40,12/31/90
41,15.532,8.871,254539370,United States,1191591.0,2383182.0,3953505.49484,2258018.75127,41,12/31/91
42,15.492,8.844,256990613,United States,1233226.0,2389375.0,3981298.5765959998,2272824.981372,42,12/31/92
43,15.451,8.817,259532129,United States,1197297.0,2342538.0,4010030.925179,2288294.781393,43,12/31/93
44,15.217,8.785,262241196,United States,1211893.0,2397441.0,3990524.279532,2303788.90686,44,12/31/94
45,14.983,8.754,265163745,United States,,,3972948.391335,2321243.42373,45,12/31/95
46,14.75,8.722000000000001,268335003,United States,,,3957941.29425,2340417.8961660005,46,12/31/96
47,14.515999999999998,8.691,271713635,United States,1163000.0,2384000.0,3944195.12566,2361463.2017850005,47,12/31/97
48,14.282,8.658999999999999,275175301,United States,1135000.0,2244000.0,3930053.648882,2382742.931359,48,12/31/98
49,14.232,8.631,278548150,United States,1145245.0,2358000.0,3964297.2708,2404149.08265,49,12/31/99
50,14.182,8.603,281710909,United States,944000.0,2315000.0,3995224.1114379996,2423558.950127,50,12/31/00
51,14.133,8.576,284607993,United States,940000.0,2326000.0,4022364.7650690004,2440798.147968,51,12/31/01
52,14.083,8.548,287279318,United States,955000.0,2290000.0,4045754.6353940004,2455663.610264,52,12/31/02
53,14.033,8.52,289815562,United States,927000.0,2245000.0,4066981.781546,2469228.58824,53,12/31/03
54,13.989,8.441,292354658,United States,879000.0,2279000.0,4089749.310762,2467765.6681780005,54,12/31/04
55,13.945,8.362,294993511,United States,847000.0,2249000.0,4113684.510895,2466735.738982,55,12/31/05
56,13.9,8.282,297758969,United States,872000.0,2193000.0,4138849.6691,2466039.781258,56,12/31/06
57,13.856,8.203,300608429,United States,856000.0,2197000.0,4165230.392224,2465890.943087,57,12/31/07
58,13.812,8.124,303486012,United States,844000.0,2157000.0,4191748.797744,2465520.3614880005,58,12/31/08
59,13.558,8.131,306307567,United States,840000.0,2080000.0,4152917.993386,2490586.827277,59,12/31/09
60,13.305,8.138,309011475,United States,872000.0,2096000.0,4111397.674875,2514735.3835500004,60,12/31/10
61,13.050999999999998,8.145,311584047,United States,877000.0,2118000.0,4066483.397397,2537852.0628150003,61,12/31/11
62,12.798,8.152000000000001,314043885,United States,851000.0,2131000.0,4019133.6402300005,2560085.75052,62,12/31/12
63,12.544,8.158999999999999,316400538,United States,832157.0,2081301.0,3968928.348672,2581511.989542,63,12/31/13
64,12.429,8.264,318673411,United States,813862.0,2140272.0,3960791.825319,2633517.068504,64,12/31/14
65,12.314,8.369,320878310,United States,800909.0,2221579.0,3951295.50934,2685430.57639,65,12/31/15
66,12.198,8.475,323015995,United States,776288.0,2251411.0,3940149.10701,2737560.557625,66,12/31/16
67,12.083,8.58,325084756,United States,787251.0,2236496.0,3927999.106748,2789227.2064799997,67,12/31/17
68,11.968,8.685,327096265,United States,782038.0,2132853.0,3914688.0995199997,2840831.0615250007,68,12/31/18
69,11.979,8.782,329064917,United States,780035.0,2056675.0,3941868.640743,2889848.101094,69,12/31/19
0,50.736,25.497,21408399,Turkey,,,1086176.531664,545849.949303,0,12/31/50
1,50.27,25.034,21951215,Turkey,,,1103487.57805,549526.71631,1,12/31/51
2,49.803,24.57,22508953,Turkey,,,1121013.386259,553044.9752100001,2,12/31/52
3,49.33600000000001,24.106,23081587,Turkey,,,1138753.1762319999,556404.736222,3,12/31/53
4,48.869,23.642,23668922,Turkey,,,1156676.5492180001,559580.653924,4,12/31/54
5,48.402,23.178,24270600,Turkey,,,1174745.5812,562543.9668,5,12/31/55
6,47.93600000000001,22.715,24886128,Turkey,,,1192941.4318080002,565288.39752,6,12/31/56
7,47.469,22.251,25514824,Turkey,,,1211163.180456,567730.3488239999,7,12/31/57
8,47.002,21.787,26155927,Turkey,,,1229380.880854,569859.181549,8,12/31/58
9,46.341,21.172,26808633,Turkey,,,1242338.861853,567592.3778759999,9,12/31/59
10,45.681,20.558000000000003,27472345,Turkey,,,1254964.191945,564776.4685100003,10,12/31/60
11,45.02,19.943,28146910,Turkey,,,1267173.8882000002,561333.8261300001,11,12/31/61
12,44.36,19.329,28832827,Turkey,,,1279024.20572,557309.713083,12,12/31/62
13,43.699,18.714,29531365,Turkey,,,1290491.119135,552649.96461,13,12/31/63
14,43.119,18.171,30244261,Turkey,,,1304102.290059,549568.4666309999,14,12/31/64
15,42.54,17.627,30972994,Turkey,,,1317591.16476,545960.9652379999,15,12/31/65
16,41.96,17.084,31717507,Turkey,,,1330866.59372,541861.8895879999,16,12/31/66
17,41.381,16.54,32477992,Turkey,,,1343971.786952,537185.9876799999,17,12/31/67
18,40.801,15.997,33256464,Turkey,,,1356896.987664,532003.654608,18,12/31/68
19,40.469,15.619000000000002,34055390,Turkey,,,1378187.57791,531911.13641,19,12/31/69
20,40.137,15.241,34876303,Turkey,,,1399830.1735110001,531549.734023,20,12/31/70
21,39.806,14.863,35720599,Turkey,,,1421894.1637940002,530915.262937,21,12/31/71
22,39.474,14.485,36587261,Turkey,,,1444245.540714,529966.475585,22,12/31/72
23,39.142,14.107,37472336,Turkey,,,1466742.175712,528622.243952,23,12/31/73
24,38.506,13.713,38370283,Turkey,,,1477486.117198,526171.6907789999,24,12/31/74
25,37.87,13.319,39277258,Turkey,,,1487429.7604599998,523133.799302,25,12/31/75
26,37.235,12.925999999999998,40189567,Turkey,,,1496458.5272449998,519490.343042,26,12/31/76
27,36.599,12.532,41108297,Turkey,,,1504522.561903,515169.178004,27,12/31/77
28,35.963,12.138,42039992,Turkey,,,1511884.232296,510281.42289600003,28,12/31/78
29,35.33,11.778,42994041,Turkey,,,1518979.46853,506383.8148979999,29,12/31/79
30,34.697,11.418,43975971,Turkey,,,1525834.2657869996,502117.636878,30,12/31/80
31,34.065,11.059,44988414,Turkey,,,1532530.32291,497526.870426,31,12/31/81
32,33.431999999999995,10.699000000000002,46025411,Turkey,,,1538721.5405519996,492425.8722890001,32,12/31/82
33,32.799,10.339,47073472,Turkey,,,1543962.808128,486692.627008,33,12/31/83
34,31.795,10.032,48114155,Turkey,,,1529789.558225,482681.20296,34,12/31/84
35,30.791,9.726,49133937,Turkey,,,1512883.054167,477876.6712620001,35,12/31/85
36,29.786,9.419,50128541,Turkey,,,1493128.722226,472160.727679,36,12/31/86
37,28.782,9.113,51100924,Turkey,,,1470786.7945680001,465682.72041199997,37,12/31/87
38,27.778,8.806000000000003,52053765,Turkey,,,1445949.48417,458385.45459,38,12/31/88
39,27.114,8.602,52992487,Turkey,,,1436838.292518,455841.37317399995,39,12/31/89
40,26.449,8.398,53921760,Turkey,,,1426176.6302399999,452834.94047999993,40,12/31/90
41,25.785,8.193999999999999,54840590,Turkey,,,1414064.61315,449363.79446,41,12/31/91
42,25.12,7.99,55748948,Turkey,,,1400413.57376,445434.09452,42,12/31/92
43,24.456,7.786,56653804,Turkey,,,1385525.430624,441106.51794399996,43,12/31/93
44,24.129,7.603,57564204,Turkey,,,1388966.678316,437660.643012,44,12/31/94
45,23.802,7.42,58486456,Turkey,,,1392094.6257119998,433969.50352,45,12/31/95
46,23.474,7.237,59423282,Turkey,,,1394902.121668,430046.29183400003,46,12/31/96
47,23.147,7.0539999999999985,60372568,Turkey,,,1397443.8314959998,425868.094672,47,12/31/97
48,22.82,6.871,61329676,Turkey,,,1399543.20632,421396.203796,48,12/31/98
49,22.358,6.729,62287397,Turkey,,,1392621.622126,419131.89441300003,49,12/31/99
50,21.895,6.587999999999999,63240194,Turkey,,,1384644.04763,416626.398072,50,12/31/00
51,21.433000000000003,6.4460000000000015,64192243,Turkey,,,1375832.344219,413783.198378,51,12/31/01
52,20.97,6.305,65145367,Turkey,,,1366098.34599,410741.538935,52,12/31/02
53,20.508000000000006,6.1629999999999985,66089402,Turkey,,,1355361.456216,407308.98452600004,53,12/31/03
54,20.141,6.113,67010930,Turkey,,,1349667.14113,409637.81509,54,12/31/04
55,19.774,6.063,67903469,Turkey,,,1342723.196006,411698.732547,55,12/31/05
56,19.407,6.013,68756810,Turkey,,,1334363.41167,413434.69853,56,12/31/06
57,19.04,5.962999999999999,69581848,Turkey,,,1324838.3859199998,414916.5596239999,57,12/31/07
58,18.673,5.9129999999999985,70418604,Turkey,,,1314926.592492,416385.205452,58,12/31/08
59,18.394,5.832000000000002,71321399,Turkey,,,1311885.813206,415946.3989680001,59,12/31/09
60,18.115,5.751,72326988,Turkey,,,1310203.3876200002,415952.50798800006,60,12/31/10
61,17.836,5.669,73443250,Turkey,,,1309933.807,416349.78425,61,12/31/11
62,17.557000000000002,5.587999999999999,74651050,Turkey,,,1310648.48485,417150.0674,62,12/31/12
63,17.278,5.5070000000000014,75925462,Turkey,,,1311840.1324359998,418121.519234,63,12/31/13
64,17.058,5.485,77229256,Turkey,,,1317376.648848,423602.46916,64,12/31/14
65,16.838,5.462999999999999,78529409,Turkey,,,1322278.188742,429006.1613669999,65,12/31/15
66,16.619,5.442,79827871,Turkey,,,1326659.388149,434423.27398199996,66,12/31/16
67,16.399,5.42,81116450,Turkey,,,1330228.6635500002,439651.159,67,12/31/17
68,16.179000000000002,5.398,82340088,Turkey,,,1332180.2837520002,444471.795024,68,12/31/18
69,15.922,5.444,83429615,Turkey,,,1328366.3300299998,454190.82406,69,12/31/19
0,46.133,23.366,554419273,China,,,25577024.321309,12954560.732918,0,12/31/50
1,44.92100000000001,23.106,569909117,China,,,25600887.444757003,13168320.057401998,1,12/31/51
2,43.71,22.845,582576491,China,,,25464418.42161,13308959.936894998,2,12/31/52
3,42.49800000000001,22.585,593365877,China,,,25216863.040746003,13401168.332045,3,12/31/53
4,41.286,22.325,603052324,China,,,24897618.248664007,13463143.1333,4,12/31/54
5,40.075,22.064,612241554,China,,,24535580.27655,13508497.647456,5,12/31/55
6,38.863,21.804,621363234,China,,,24148039.362942006,13548203.954136,6,12/31/56
7,37.652,21.543000000000006,630677645,China,,,23746274.68954,13586688.506235002,7,12/31/57
8,36.44,21.283,640295772,China,,,23332377.931679998,13627414.915476002,8,12/31/58
9,37.034,21.157,650212734,China,,,24079978.390956,13756550.813237995,9,12/31/59
10,37.629,21.031,660408056,China,,,24850494.739224,13889041.825736,10,12/31/60
11,38.223,20.905,670952695,China,,,25645824.860985,14026266.088975,11,12/31/61
12,38.81800000000001,20.779,682102655,China,,,26477860.861790005,14173411.068245,12,12/31/62
13,39.412,20.653,694339083,China,,,27365291.939196,14340185.081199003,13,12/31/63
14,39.427,19.082,708254597,China,,,27924353.995919,13514914.219953999,14,12/31/64
15,39.442,17.511,724218968,China,,,28564644.535856,12681798.348648,15,12/31/65
16,39.458,15.941,742414885,China,,,29294206.53233,11834835.681785,16,12/31/66
17,39.473,14.37,762581176,China,,,30101366.760247998,10958291.49912,17,12/31/67
18,39.488,12.799,784074709,China,,,30961542.108992,10035372.200491002,18,12/31/68
19,37.976,12.075,805985939,China,,,30608122.019464,9732280.213425,19,12/31/69
20,36.463,11.351,827601394,China,,,30176829.629421998,9394103.423293997,20,12/31/70
21,34.951,10.626,848759710,China,,,29665000.624209996,9018920.678459998,21,12/31/71
22,33.438,9.902,869485964,China,,,29073871.664232,8609650.015527999,22,12/31/72
23,31.926,9.178,889485372,China,,,28397709.986471996,8163696.744216001,23,12/31/73
24,30.039,8.772,908464198,China,,,27289356.043722,7969047.944856,24,12/31/74
25,28.152,8.366,926240885,China,,,26075533.39452,7748931.243910001,25,12/31/75
26,26.265,7.959,942685411,China,,,24759632.319915,7502833.186148998,26,12/31/76
27,24.378,7.553,957891272,China,,,23351473.428816,7234952.777416,27,12/31/77
28,22.491,7.147,972205442,China,,,21865872.596022,6948352.293974001,28,12/31/78
29,22.231,7.039,986132202,China,,,21922704.982662,6941384.569877999,29,12/31/79
30,21.972,6.93,1000089235,China,,,21973960.67142,6930618.39855,30,12/31/80
31,21.712,6.822,1014022212,China,,,22016450.266944,6917659.530264,31,12/31/81
32,21.453000000000007,6.712999999999999,1027948987,China,,,22052589.618111003,6900621.549730998,32,12/31/82
33,21.193,6.605,1042431412,China,,,22092248.914516,6885259.476260001,33,12/31/83
34,21.908,6.625,1058171976,China,,,23182431.650208,7010389.341,34,12/31/84
35,22.623,6.645,1075589361,China,,,24333058.113903,7147291.303845,35,12/31/85
36,23.339,6.664,1095014109,China,,,25556534.289951004,7297174.022375999,36,12/31/86
37,24.054,6.684,1116095476,China,,,26846560.579704,7459982.161584001,37,12/31/87
38,24.769,6.704,1137724227,China,,,28180291.378563,7627303.217808,38,12/31/88
39,23.299,6.702000000000001,1158357397,China,,,26988568.992703,7763311.274694001,39,12/31/89
40,21.829,6.7,1176883674,China,,,25690193.719745997,7885120.6158,40,12/31/90
41,20.359,6.699,1192897284,China,,,24286195.804956,7991218.905515999,41,12/31/91
42,18.889,6.697,1206711244,China,,,22793568.687916,8081345.201067999,42,12/31/92
43,17.419,6.695,1218817055,China,,,21230574.281045,8159980.183225,43,12/31/93
44,16.85,6.69,1230020031,China,,,20725837.52235,8228834.007389999,44,12/31/94
45,16.28,6.685,1240920535,China,,,20202186.309800006,8295553.776474998,45,12/31/95
46,15.711,6.68,1251636186,China,,,19664456.118246,8360929.72248,46,12/31/96
47,15.140999999999998,6.675,1261996012,China,,,19107881.617692,8423823.380099999,47,12/31/97
48,14.572,6.67,1271982350,China,,,18535326.8042,8484122.2745,48,12/31/98
49,14.274,6.665,1281514832,China,,,18292342.711968,8541296.355279999,49,12/31/99
50,13.976,6.66,1290550765,China,,,18036737.49164,8595068.094899999,50,12/31/00
51,13.679,6.655,1299129752,China,,,17770795.877607998,8645708.49956,51,12/31/01
52,13.380999999999998,6.65,1307352257,China,,,17493680.550917,8693892.50905,52,12/31/02
53,13.083,6.645,1315303521,China,,,17208115.965243,8740191.897045,53,12/31/03
54,13.028,6.686,1323084641,China,,,17237146.702947997,8846143.909726,54,12/31/04
55,12.973,6.727,1330776380,China,,,17264161.977739993,8952132.70826,55,12/31/05
56,12.917,6.767,1338408647,China,,,17288224.493299,9057011.314249,56,12/31/06
57,12.862,6.808,1345993888,China,,,17312173.387456,9163526.389503999,57,12/31/07
58,12.807,6.849,1353569484,China,,,17335164.381588,9270597.395916,58,12/31/08
59,12.787,6.88,1361169419,China,,,17405273.360753004,9364845.60272,59,12/31/09
60,12.767,6.9110000000000005,1368810615,China,,,17475605.121705007,9459850.160264999,60,12/31/10
61,12.748,6.941,1376497639,China,,,17547591.901972,9554270.112299,61,12/31/11
62,12.728,6.972,1384206401,China,,,17618179.071928002,9650687.027772002,62,12/31/12
63,12.708,7.002999999999999,1391883330,China,,,17688053.35764,9747358.959989998,63,12/31/13
64,12.552,7.027,1399453965,China,,,17565946.168679997,9833963.012055,64,12/31/14
65,12.397,7.05,1406847870,China,,,17440693.04439,9918277.4835,65,12/31/15
66,12.241,7.074,1414049351,China,,,17309378.105591,10002985.108974,66,12/31/16
67,12.086,7.097,1421021791,China,,,17174469.366025995,10084991.650727002,67,12/31/17
68,11.93,7.121,1427647786,China,,,17031838.08698,10166279.884105999,68,12/31/18
69,11.673,7.261,1433783686,China,,,16736556.966678,10410703.344046,69,12/31/19
0,18.607,10.003,46598601,Italy,,,867060.1688069998,466125.80580300005,0,12/31/50
1,18.477,9.969,47009982,Italy,,,868603.4374139999,468642.510558,1,12/31/51
2,18.346,9.935,47390568,Italy,,,869427.360528,470825.29308,2,12/31/52
3,18.215,9.901,47737391,Italy,,,869536.577065,472647.908291,3,12/31/53
4,18.084,9.867,48051033,Italy,,,868954.880772,474119.54261100007,4,12/31/54
